Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
12-06-2000,WIPRO,EQ,2395.15,2440,2475,2345,2371.25,2376.45,2406.16,222643,5.35714E+13,,,
13-06-2000,WIPRO,EQ,2376.45,2330,2409,2186.35,2349.95,2363.35,2272.53,346226,7.86807E+13,,,
14-06-2000,WIPRO,EQ,2363.35,2439,2499,2375,2423,2401.55,2424.8,289111,7.01035E+13,,,
15-06-2000,WIPRO,EQ,2401.55,2435,2606,2380,2600,2583.75,2512.01,521760,1.31067E+14,,,
16-06-2000,WIPRO,EQ,2583.75,2674,2880,2625,2820,2807.55,2769.83,659242,1.82599E+14,,,
19-06-2000,WIPRO,EQ,2807.55,2848,3031,2848,2955.25,2956.5,2957.62,419929,1.24199E+14,,,
20-06-2000,WIPRO,EQ,2956.5,2999,3098,2951,2987.9,2970.35,2998.94,324976,9.74583E+13,,,
21-06-2000,WIPRO,EQ,2970.35,3074,3074,2700,2738.9,2730.05,2811.4,383173,1.07725E+14,,,
22-06-2000,WIPRO,EQ,2730.05,2750,2799,2665,2761,2755.7,2747,223042,6.12697E+13,,,
23-06-2000,WIPRO,EQ,2755.7,2720,2725,2600,2619,2616.25,2646.51,246130,6.51384E+13,,,
26-06-2000,WIPRO,EQ,2616.25,2566,2930,2416.3,2870,2828.35,2653.27,538911,1.42988E+14,,,
27-06-2000,WIPRO,EQ,2828.35,2870,2949,2735.05,2755,2764,2824.91,384618,1.08651E+14,,,
28-06-2000,WIPRO,EQ,2764,2698.7,2920,2561.3,2870,2864.05,2836.47,440063,1.24823E+14,,,
29-06-2000,WIPRO,EQ,2864.05,2890,3050,2775,2862,2875.8,2946.82,433857,1.2785E+14,,,
30-06-2000,WIPRO,EQ,2875.8,2810,2989.85,2776,2900,2930.85,2918.02,551298,1.6087E+14,,,
03-07-2000,WIPRO,EQ,2930.85,2970,3152,2950,3150.1,3115.45,3059.63,602726,1.84412E+14,,,
04-07-2000,WIPRO,EQ,3115.45,3190,3299,3145,3260,3267.65,3209.91,418306,1.34272E+14,,,
05-07-2000,WIPRO,EQ,3267.65,3295,3324,3156,3180,3198.05,3223.75,423453,1.36511E+14,,,
06-07-2000,WIPRO,EQ,3198.05,3142,3150,3056,3101,3103.3,3104.47,363682,1.12904E+14,,,
07-07-2000,WIPRO,EQ,3103.3,3125,3143,2990,3015,3013.95,3069.81,316995,9.73115E+13,,,
10-07-2000,WIPRO,EQ,3013.95,3060,3098,3010.55,3027,3023.85,3046.71,269339,8.20598E+13,,,
11-07-2000,WIPRO,EQ,3023.85,3035,3050,2840.5,2842,2882.25,2957.01,355402,1.05093E+14,,,
12-07-2000,WIPRO,EQ,2882.25,2900,3039,2815.1,3030,3011,2934.34,384206,1.12739E+14,,,
13-07-2000,WIPRO,EQ,3011,3044,3110,2850,2898,2900.05,3008.45,352397,1.06017E+14,,,
14-07-2000,WIPRO,EQ,2900.05,2875,2968.95,2826,2850,2847.85,2881.42,359366,1.03548E+14,,,
17-07-2000,WIPRO,EQ,2847.85,2880,2929.8,2740.05,2830,2845.55,2841.07,416039,1.18199E+14,,,
18-07-2000,WIPRO,EQ,2845.55,2845,2864,2741.05,2765,2768.85,2797.1,303756,8.49635E+13,,,
19-07-2000,WIPRO,EQ,2768.85,2700,2809,2651.55,2724,2722.7,2756.43,285744,7.87633E+13,,,
20-07-2000,WIPRO,EQ,2722.7,2691.1,2735,2660,2701,2698.65,2695,206080,5.55385E+13,,,
21-07-2000,WIPRO,EQ,2698.65,2725,2800,2550,2558,2588.15,2673.27,290665,7.77025E+13,,,
24-07-2000,WIPRO,EQ,2588.15,2510,2510,2275,2280.6,2317.35,2388.06,280605,6.70102E+13,,,
25-07-2000,WIPRO,EQ,2317.35,2240.45,2590,2132,2587,2515.35,2328.48,523496,1.21895E+14,,,
26-07-2000,WIPRO,EQ,2515.35,2648,2675,2392,2392,2419.5,2522.23,469573,1.18437E+14,,,
27-07-2000,WIPRO,EQ,2419.5,2350,2550,2245,2504.8,2512.1,2395.22,534763,1.28088E+14,,,
